Symbol,P/E,EV/Sales,ROE,EPS,Current Ratio,Debt/Equity,Beta,Dividend Yield,Revenue Growth,EV/EBITDA,Profit Margin,Gross Margin
EXC,17.223444,4.028,0.09936,2.73,0.924,174.488,0.505,3.57,-0.011,12.002,0.11411,0.4293
IR,59.172413,4.908,0.057729997,1.45,2.056,50.699,1.333,0.09,0.101,18.627,0.07599,0.43607
YUM,29.33153,6.998,,5.55,1.346,,0.662,1.84,0.065,19.753,0.1898,0.46165
KHC,,1.797,-0.12837,-4.93,1.154,52.1,0.051,7.12,-0.034,7.826,-0.23437999,0.33317003
GEHC,16.40879,1.95,0.22378,4.55,1.373,98.717,1.305,0.19,0.071,11.043,0.10104,0.39985
IQV,22.5364,2.712,0.21438,7.83,0.749,245.928,1.391,,0.103,15.057,0.083380006,0.33291999
GIS,8.679707,1.186,0.23591,4.09,0.563,217.629,0.0,6.87,0.022,6.565,0.12053,0.3314
CCL,12.872247,2.434,0.27853,2.27,0.299,203.901,2.482,0.51,0.061,9.052,0.11476,0.55966
RMD,22.563799,6.051,0.25676,10.11,3.06,13.411,0.928,1.05,0.11,16.13,0.27526,0.61474
VMC,35.836605,5.399,0.12972,8.14,2.686,57.785,1.095,0.71,0.032,18.549,0.13559,0.27384
HSY,44.4873,3.751,0.1889,4.33,1.192,123.763,0.175,3.02,0.07,22.205,0.07554,0.33549
ACGL,8.4129305,1.737,0.19540001,11.6,1.077,11.919,0.384,,0.085,6.268,0.22073,0.37162
IDXX,45.049694,11.087,0.66202,13.08,1.231,60.827,1.722,,0.143,31.7,0.24618,0.61797
WAB,38.617302,4.489,0.11096,6.82,1.106,53.021,0.987,0.4,0.148,20.586,0.104770005,0.34665
ROK,47.62085,5.848,0.23736,8.73,1.156,99.289,1.541,1.33,0.119,26.947,0.11557,0.48494
MLM,38.020782,7.066,0.10159001,16.36,3.568,59.866,1.188,0.53,0.086,20.606,0.18488,0.30797002
EXR,31.668844,13.224,0.07008,4.59,0.758,98.679,1.274,4.46,0.046,20.088,0.28261998,0.75028
DD,225.4762,3.254,0.0051700003,0.21,2.419,24.484,1.122,1.69,,14.738,-0.11374,0.34500998
ETR,29.620512,6.337,0.10774,3.9,0.742,181.79,0.565,2.22,0.079,14.705,0.13581,0.47717
DECK,15.980114,2.647,0.39688,7.04,2.856,13.14,1.211,,0.071,10.46,0.19348,0.57545
EFX,36.883457,4.74,0.13757,5.32,0.605,110.637,1.559,1.05,0.092,15.41,0.1087,0.56447
UAL,9.980392,0.876,0.23987,10.2,0.645,203.089,1.286,,0.048,6.669,0.056760002,0.33963
WTW,18.316309,3.292,0.20076,16.25,1.205,85.755,0.63,1.29,-0.033,12.165,0.16533001,0.41584
TTWO,,6.162,-0.86217004,-22.56,1.137,100.449,0.965,,0.249,49.109,-0.60449004,0.59289
HIG,10.4906225,1.373,0.21656,13.33,1.84,23.937,0.528,1.72,0.067,7.448,0.13518,0.37432998
RJF,14.833823,1.402,0.17124,10.23,2.244,46.262,1.01,1.42,0.057,,0.14758,0.92980003
AVB,23.466936,11.135,0.088879995,7.41,0.406,80.256,0.763,4.09,0.037,18.335,0.34569,0.63141996
MTB,12.284672,3.992,0.102910005,17.81,,,0.598,2.74,0.057,,0.31482,0.0
DXCM,30.612442,5.153,0.34497002,2.09,1.883,50.852,1.556,,0.131,20.644,0.17939,0.60101
ED,19.530142,3.933,0.08767,5.64,1.021,117.317,0.335,3.15,0.089,11.05,0.11958,0.53251
EBAY,24.565727,4.608,0.40847,4.26,1.097,155.623,1.33,1.18,0.15,18.845,0.18297,0.71449995
HPQ,7.5303025,0.462,,2.64,0.759,,1.131,6.04,0.069,5.826,0.04462,0.20251
IRM,236.14,7.857,,0.5,0.739,,1.152,2.93,0.166,23.289,0.02095,0.55381
EIX,6.125541,3.665,0.24103001,11.55,0.729,215.738,0.767,4.96,0.308,8.584,0.23083,0.5783
LYV,,1.636,0.36701,-0.23,0.995,572.032,1.147,,0.111,21.007,0.01968,0.25546
VICI,11.1149435,12.12,0.10217,2.61,17.233,62.679,0.728,6.14,0.038,13.298,0.69281,0.9914
CNC,,0.095,-0.28678,-13.53,1.1,90.556,0.587,,0.232,6.527,-0.037890002,0.104729995
WEC,24.089397,6.176,0.11576,4.81,0.587,159.331,0.525,3.29,0.111,15.648,0.15893,0.42378
MCHP,,10.926,-0.010930001,-0.3,2.162,82.382,1.474,2.31,0.156,48.754,-0.01574,0.55407
HUM,20.826395,0.14,0.07039,9.85,2.003,74.815,0.445,1.73,0.113,5.096,0.00916,0.14538999
BRO,21.43038,5.191,0.11226,3.16,1.039,62.976,0.826,0.93,0.362,15.095,0.18289,0.49071997
CSGP,1986.0001,4.996,0.00088,0.02,2.84,13.666,0.92,,0.269,77.618,0.0021600001,0.78873
MPWR,113.649376,25.404,0.19173999,12.92,5.912,0.683,1.478,0.54,0.208,90.751,0.22272,0.55179
GDDY,13.781351,2.861,1.92901,6.22,0.615,1795.723,0.977,,0.068,11.286,0.17673,0.63614
TSCO,21.849514,1.896,0.45183998,2.06,1.342,230.228,0.747,2.13,0.033,15.01,0.07061,0.36424
STT,14.764465,,0.11261,9.85,,,1.384,2.31,-0.028,,0.21295,0.0
CAH,30.78993,0.232,,6.95,0.906,,0.65,0.95,0.188,14.855,0.00679,0.03695
GPN,16.336344,4.542,0.04824,4.43,1.69,93.316,0.765,1.38,-0.0,10.177,0.18169,0.72643
FITB,16.949495,6.897,0.07969,2.97,,,0.973,3.18,0.33,,0.24133,0.0
XYL,30.895409,3.399,0.08396,3.92,1.625,21.066,1.174,1.42,0.063,16.215,0.10592,0.38462
HPE,,1.454,-0.00471,-0.17,1.035,87.223,1.215,2.16,0.184,10.626,-0.0033000002,0.32071
KEYS,58.86268,10.205,0.17222999,5.68,2.604,44.674,1.152,,0.233,45.05,0.16946,0.61864
DOW,,1.061,-0.13818,-3.7,1.967,111.871,0.495,3.93,-0.091,15.683,-0.065630004,0.062319998
EQR,21.39249,10.496,0.100200005,2.93,0.107,74.323,0.744,4.48,0.02,17.253,0.36202,0.62878
ON,286.2414,5.576,0.01498,0.29,4.522,42.294,1.524,,-0.112,19.044,0.020179998,0.38321
PPG,16.572872,1.985,0.21077,6.93,1.624,97.592,1.155,2.47,0.05,11.881,0.09928001,0.41625
SW,31.7594,1.157,0.03911,1.33,1.478,81.007,1.054,4.28,0.005,7.512,0.02242,0.19382
NUE,26.046541,1.55,0.09361,7.52,2.938,32.765,1.745,1.14,0.086,12.165,0.05367,0.12027001
EL,,2.309,-0.04341,-0.51,1.358,232.945,1.252,1.84,0.056,15.361,-0.012130001,0.74317
BR,18.022123,3.067,0.41793,9.04,0.972,117.175,1.015,2.39,0.078,12.652,0.14864,0.31219998
WBD,94.72414,2.723,0.02078,0.29,1.056,98.91,1.637,,-0.057,13.794,0.01949,0.44546002
TPL,60.628407,36.34,0.37152,6.97,4.398,1.219,0.773,0.57,0.139,44.246,0.60308,0.93294
CHD,32.079468,4.015,0.1762,3.02,1.066,59.517,0.473,1.27,0.039,18.015,0.11878,0.45134997
MTD,31.850319,7.313,,42.09,1.137,,1.435,,0.081,24.297,0.21587,0.59374
DOV,27.486828,3.887,0.15285,7.97,1.79,48.404,1.254,0.95,0.088,17.24,0.13518,0.40164003
TYL,47.6509,6.119,0.08901,7.19,1.05,17.355,0.921,,0.063,32.827,0.13532,0.46464002
FTV,38.062893,5.186,0.06396,1.59,0.715,51.177,1.001,0.43,0.046,18.624,0.13926,0.63502
TROW,10.495671,2.657,0.18791,9.24,6.234,3.891,1.523,5.36,0.06,6.832,0.28533,0.5127
VLTO,24.19681,4.252,0.36498,3.76,1.669,92.692,1.153,0.57,0.038,17.242,0.17082001,0.59949
EQT,17.667673,5.858,0.09007,3.31,0.763,28.932,0.693,1.13,0.269,7.867,0.24927,0.78629
SYF,8.441811,2.938,0.21304001,9.28,,,1.381,1.53,0.05,,0.36408,0.0
NVR,16.025547,1.798,0.33185002,436.86,6.211,28.342,1.072,,-0.05,10.347,0.12836,0.22889
DTE,20.907537,3.581,0.12177,7.03,0.804,213.601,0.428,3.07,0.289,15.657,0.09245,0.30309
VTR,157.59259,9.168,0.0217,0.54,0.341,101.996,0.768,2.44,0.214,24.097,0.04321,0.41213
AWK,23.130053,8.068,0.10496,5.69,0.462,146.987,0.734,2.52,0.058,14.868,0.21615,0.6072
ADM,30.06278,0.514,0.04721,2.23,1.365,42.376,0.636,3.1,-0.137,16.368,0.01343,0.0627
NTAP,17.53859,3.033,1.12587,5.96,1.39,236.097,1.292,1.99,0.044,11.62,0.18065001,0.70458
WST,40.313698,6.262,0.16855,6.79,3.021,10.271,1.151,0.32,0.075,23.762,0.16059999,0.35913
CPAY,22.264805,6.842,0.29071,15.03,0.977,243.348,0.851,,0.207,12.735,0.23625,0.7968
PPL,24.54088,5.282,0.08157,1.59,0.865,131.147,0.68,2.92,0.028,13.473,0.13061,0.43475
LYB,,1.086,-0.06949,-2.48,1.773,144.156,0.437,7.24,-0.092,15.028,-0.02471,0.08964
AEE,21.06729,6.042,0.11337,5.35,0.658,147.125,0.533,2.66,-0.088,13.761,0.1719,0.49244
EXPE,27.098877,2.348,0.48672,9.81,0.732,254.692,1.332,0.63,0.114,15.033,0.08783,0.90116996
HBAN,12.122303,5.443,0.10095,1.39,,,0.974,3.68,0.103,,0.28744,0.0
CDW,16.579208,1.018,0.43018,8.08,1.176,236.871,1.018,1.88,0.063,11.606,0.04756,0.21733
FE,28.465908,3.836,0.09195,1.76,0.565,192.755,0.59,3.71,0.207,11.587,0.06845,0.66867995
HUBB,32.360725,5.214,0.24542,16.55,1.719,64.473,0.997,1.06,0.119,21.585,0.15178001,0.35486
HAL,24.766668,1.68,0.12274,1.5,2.04,79.162,0.693,1.83,0.008,9.044,0.05783,0.15705
ROL,50.458714,7.285,0.38944,1.09,0.602,75.529,0.84,1.33,0.097,32.082,0.14004,0.52752
PHM,11.378597,1.43,0.17673999,11.12,7.55,18.453,1.341,0.82,-0.063,7.76,0.12816,0.26865998
CINF,11.003959,2.0,0.16036,15.16,0.639,5.568,0.642,2.13,0.218,7.894,0.18945,0.25018
PTC,20.580267,6.224,0.23141001,6.79,1.219,35.942,1.058,,0.214,14.517,0.28612,0.84233004
WRB,15.017979,1.657,0.19700001,4.45,0.399,31.921,0.373,0.54,0.015,9.602,0.120979995,0.43407002
DRI,21.187567,2.425,0.51539004,9.49,0.387,387.681,0.627,2.98,0.059,15.406,0.086619996,0.21507
FOXA,15.604316,2.012,0.16823,4.17,2.784,67.389,0.505,0.86,0.02,9.44,0.11407,0.35439
FOX,14.035971,1.844,0.16823,4.17,2.784,67.389,0.505,0.96,0.02,8.653,0.11407,0.35439
IFF,,2.34,-0.02559,-1.41,1.422,46.884,1.032,2.11,-0.066,13.713,-0.033150002,0.36161998
SBAC,22.769388,13.765,,9.8,0.286,,0.88,2.24,0.037,21.402,0.37427,0.74485
WAT,30.490232,10.461,0.29279,10.75,1.733,60.282,1.203,,0.068,30.265,0.20302,0.59283
ERIE,22.87944,3.077,0.26194,10.7,1.268,2.712,0.438,2.39,0.029,15.468,0.13752,0.17633
TDY,33.67744,5.189,0.08926,18.88,1.643,25.13,1.008,,0.073,21.197,0.14632,0.42758
ATO,24.320728,8.241,0.09237,7.67,1.13,67.443,0.688,2.14,0.142,16.778,0.25667998,0.57824004
RF,11.672198,2.912,0.11895,2.41,,,,3.77,0.073,,0.30997,0.0
BIIB,20.15341,2.919,0.07394,8.8,2.679,36.466,0.162,,-0.071,8.011,0.13071999,0.78946
ZBH,26.698591,3.135,0.05599,3.55,1.982,61.971,0.612,1.01,0.109,10.341,0.08566,0.69708
CNP,26.875,5.404,0.096429996,1.6,0.911,206.599,0.532,2.14,0.107,14.074,0.11243,0.45421
MKC,8.906558,2.802,0.25347,6.1,0.758,65.158,0.706,3.53,0.167,14.676,0.23117,0.38181
ES,15.186403,4.153,0.10777,4.56,0.65,184.946,0.776,4.55,0.134,11.981,0.124919996,0.53622
WDC,35.209827,11.858,0.41126,10.58,1.455,65.436,1.829,0.13,0.252,37.917,0.35644,0.42723998
TSN,115.75,0.545,0.012560001,0.56,1.533,46.039,0.434,3.15,0.051,11.619,0.0036300002,0.06151
TER,109.93642,18.656,0.19734,3.46,1.748,10.131,1.794,0.14,0.439,73.289,0.17368001,0.58224
STE,31.447075,4.082,0.10468,7.18,2.479,28.651,1.07,1.09,0.092,15.105,0.12144,0.44322
PKG,24.87063,2.522,0.17198,8.58,3.166,94.93,0.918,2.34,0.101,11.933,0.08611,0.21799
CLX,17.116203,2.337,9.87179,6.11,0.736,9191.429,0.645,4.74,-0.008,12.862,0.111719996,0.44155
NTRS,18.210527,4.662,0.13492,8.74,,,1.242,1.98,0.082,,0.21459,0.0
ZBRA,28.658922,2.614,0.116809994,8.18,0.97,75.167,1.655,,0.106,14.319,0.077649996,0.48054
DVN,10.606714,2.165,0.17736,4.17,0.98,55.951,0.526,2.17,-0.121,4.645,0.16473,0.47699
CBOE,28.812681,6.527,0.2336,10.41,1.872,30.958,0.369,0.93,0.087,18.838,0.23334,0.51527
WY,55.933334,3.388,0.03384,0.45,1.293,60.694,0.998,3.34,-0.098,33.139,0.046919998,0.14844
LUV,54.050632,0.846,0.04812,0.79,0.517,74.94,1.184,1.69,0.074,13.796,0.01571,0.2204
ULTA,21.59875,2.089,0.43595,25.62,1.414,77.835,0.953,,0.118,14.12,0.09308,0.43047002
CMS,22.088068,5.039,0.108559996,3.52,0.979,194.861,0.424,2.93,0.123,14.253,0.12542,0.41527
INVH,28.156252,9.124,0.060939997,0.96,2.423,88.124,0.816,4.44,0.043,16.637,0.21632999,0.58247
FSLR,13.40183,3.494,0.1745,14.21,2.675,6.871,1.607,,0.111,8.577,0.2928,0.40624002
BF-B,16.947674,4.024,0.20417,1.72,2.767,67.246,0.421,3.14,0.02,13.013,0.20639,0.59335
LDOS,13.929084,1.391,0.31034002,11.14,1.703,107.658,0.663,1.07,-0.036,9.997,0.084309995,0.18045
CFG,15.2725115,3.587,,4.22,,,1.058,2.85,0.138,,0.25048,0.0
LH,25.902391,2.029,0.10509,10.45,1.424,75.561,0.985,1.06,0.056,12.919,0.06282,0.2876
VRSN,31.142044,15.905,,8.8,0.489,,0.695,1.18,0.076,22.867,0.49842998,0.8815
IP,,1.229,-0.24678,-5.61,1.279,71.073,1.099,4.98,0.531,7.359,-0.14877,0.29737
ESS,24.516348,12.095,0.12235,10.4,0.154,119.433,0.725,4.04,0.032,18.646,0.346,0.68583
PODD,58.543102,5.402,0.18124,3.48,2.814,66.176,1.47,,0.312,25.928,0.091239996,0.71633005
COO,34.85572,3.931,0.04868,2.01,1.337,33.201,1.074,,0.062,14.846,0.09668,0.65444
SMCI,20.846714,0.651,0.13193,1.37,1.697,75.28,1.629,,1.234,16.652,0.03111,0.0802
STX,61.7531,12.25,,8.87,1.119,1046.623,1.634,0.54,0.215,43.2,0.19586,0.38775003
MAA,33.93634,9.272,0.07645,3.77,0.071,93.305,0.789,4.78,0.01,16.486,0.2023,0.5869
FDS,14.966559,4.059,0.28084,15.55,1.431,72.972,0.724,1.89,0.071,10.709,0.24481001,0.51936
NRG,41.827927,1.582,0.41548002,4.01,1.637,989.054,1.338,1.13,0.137,16.378,0.02813,0.19379
BBY,13.041667,0.383,0.37041,5.04,1.107,139.474,1.374,5.84,-0.01,6.144,0.02564,0.22482
SNA,19.805727,3.769,0.18327999,19.2,4.793,21.711,0.761,2.57,0.031,13.924,0.19722,0.51735
L,13.971142,1.441,0.09431,7.97,0.513,50.221,0.591,0.22,0.041,8.167,0.09033,0.36501998
PFG,18.318094,1.28,0.10524,5.25,1.51,34.915,0.882,3.25,-0.037,11.555,0.075840004,0.44241002
STLD,25.07134,1.794,0.13284001,7.99,3.055,49.077,1.4,1.01,0.14,16.084,0.06523,0.13161
TRMB,39.36932,4.883,0.07322,1.76,1.085,26.749,1.536,,-0.014,21.414,0.118190005,0.71081
OMC,,1.726,0.00479,-0.27,0.93,86.307,0.751,4.07,0.279,10.673,-0.00316,0.18571
CTRA,13.790178,3.913,0.12275,2.24,1.188,26.984,0.27,2.85,0.234,5.661,0.2456,0.74124
HRL,23.80899,0.933,0.061160002,0.89,2.662,4.244,0.358,5.52,-0.029,9.356,0.0403,0.15609999
ARE,,8.063,-0.05856,-8.44,1.617,66.615,1.343,8.39,-0.052,12.542,-0.47384998,0.69418997
BLDR,22.750643,0.968,0.10064,3.89,1.859,117.187,1.636,,-0.121,10.675,0.02865,0.30386
JBHT,37.996902,2.012,0.16676001,6.45,1.258,36.247,1.221,0.73,0.046,15.185,0.051269997,0.18861
GEN,20.742268,4.24,0.26902,0.97,0.466,363.379,1.149,2.49,0.258,9.957,0.12757,0.78845
DGX,22.262556,2.511,0.14751,8.76,1.044,90.379,0.654,1.76,0.071,12.739,0.089899994,0.33330002
KEY,13.374232,5.743,0.09972,1.63,,,1.071,3.76,0.117,,0.27028,0.0
NI,24.774359,6.242,0.0907,1.95,0.688,139.284,0.61,2.48,0.198,14.358,0.13994001,0.50614
MOH,16.700672,0.079,0.11022,8.92,1.688,99.435,0.554,,0.071,3.838,0.010829999,0.09354
PNR,23.175573,3.959,0.17478001,3.93,1.607,45.645,1.242,1.14,0.049,15.152,0.15656,0.40886003
J,34.018467,1.424,0.09726,3.79,1.33,65.173,0.752,1.12,0.123,13.797,0.03495,0.24445999
DG,18.493431,0.994,0.18992001,6.85,1.135,184.665,0.34,1.86,0.059,12.845,0.0354,0.30661
BALL,19.539394,1.772,0.16122,3.3,1.114,136.027,1.142,1.24,0.162,11.588,0.069299996,0.19588
NWS,38.909092,2.108,0.06329,0.77,1.813,30.892,0.924,0.67,0.055,15.313,0.13346,0.56667
NWSA,33.77922,1.853,0.06329,0.77,1.813,30.892,0.924,0.77,0.055,13.465,0.13346,0.56667
UDR,31.221237,10.577,0.09378,1.13,0.156,144.726,0.72,4.93,0.015,17.869,0.21597,0.66621
HOLX,31.53942,4.149,0.108559996,2.41,4.04,48.051,0.703,,0.025,12.677,0.13178,0.60378
JBL,43.296097,1.119,0.59696996,7.43,1.013,328.91,1.159,0.1,0.231,15.377,0.02477,0.09037
GPC,242.10638,0.911,0.015,0.47,1.079,156.063,0.772,3.73,0.041,10.987,0.00271,0.37452
IEX,32.175,4.822,0.1234,6.4,2.856,48.251,0.98,1.38,0.042,17.899,0.13975,0.44522998
MAS,17.248705,2.167,71.5,3.86,1.805,4230.263,1.291,1.92,-0.019,11.588,0.10711,0.35678002
KIM,29.5,11.488,0.055370003,0.82,0.488,78.678,1.051,4.3,0.032,18.767,0.27323,0.69051003
ALGN,33.64071,3.115,0.103870004,5.65,1.363,2.826,1.811,,0.053,14.763,0.1017,0.69805
DLTR,17.833334,1.403,0.31693,5.94,1.067,187.904,0.744,,0.09,11.785,0.06607,0.36693
EXPD,24.756304,1.71,0.35431,5.95,1.812,24.197,1.081,1.05,-0.033,17.059,0.07321,0.13435
EG,9.301137,0.779,0.10847,37.79,1.124,24.481,0.333,2.28,-0.029,,0.0907,0.124960005
MRNA,,8.602,-0.28868,-7.26,3.293,15.087,1.336,,-0.298,-5.849,-1.4516499,-1.05761
LNT,23.194267,6.992,0.11299,3.14,0.799,168.08,0.598,2.86,0.09,16.468,0.18569,0.45667
AVY,19.599998,1.916,0.30212998,8.8,1.127,176.335,1.003,2.18,0.039,11.956,0.07769,0.28754
BAX,,1.549,-0.13713,-1.75,2.314,160.275,0.617,1.92,0.08,8.629,-0.085109994,0.35735
TPR,60.173748,4.58,0.55337,2.59,1.626,715.475,1.61,1.03,0.14,18.981,0.0695,0.75981003
VTRS,,2.104,-0.21080999,-3.0,1.38,99.91,0.822,3.27,0.05,7.601,-0.2458,0.39547002
CF,12.5618725,3.092,0.23401,8.97,3.365,46.765,0.516,1.77,0.228,6.761,0.20538999,0.38452998
FFIV,25.712986,5.292,0.20844,12.09,1.554,7.566,0.93,,0.073,18.832,0.22455,0.81385005
DPZ,21.187927,3.529,,17.56,1.651,,1.185,2.14,0.064,17.276,0.121800005,0.28625
AKAM,31.234528,4.368,0.091730006,3.07,2.363,114.024,0.594,,0.074,15.567,0.10742,0.58949
RL,26.318369,3.068,0.33846,14.7,2.099,98.972,1.479,0.94,0.122,17.573,0.11726,0.69649005
TXT,17.892578,1.236,0.12242,5.12,1.969,54.375,0.971,0.09,0.156,11.089,0.062230002,0.18035
SWKS,22.601534,2.098,0.06485,2.61,2.396,20.714,1.3,4.81,-0.031,8.993,0.097270004,0.41132
EVRG,22.505465,5.768,0.08569,3.66,0.491,149.917,0.599,3.37,0.066,12.544,0.14352,0.52266
EPAM,19.544643,1.092,0.10335,6.72,2.594,3.907,1.73,,0.128,8.426,0.06921,0.28877002
DOC,173.70001,7.988,0.01164,0.1,1.218,122.183,1.079,7.02,0.031,14.491,0.02528,0.59973997
APTV,79.49333,0.942,0.01948,0.75,1.736,85.209,1.511,,0.05,6.025,0.008090001,0.19153999
RVTY,45.611652,4.546,0.03216,2.06,1.682,46.869,1.129,0.3,0.059,15.439,0.08445,0.54774
AMCR,31.533833,1.758,0.07734,1.33,1.301,138.731,0.708,6.2,0.681,12.12,0.03039,0.1893
REG,28.698582,12.498,0.07683,2.82,0.618,69.389,0.922,3.73,0.089,19.675,0.32740003,0.71623003
POOL,20.959484,1.853,0.33058998,10.86,2.238,129.513,1.262,2.2,-0.005,15.533,0.07683,0.29728
INCY,15.26053,3.101,0.2987,6.41,3.316,1.063,0.857,,0.278,11.073,0.25026,0.52884996
BXP,33.36207,8.764,0.04916,1.74,0.923,225.995,1.047,5.31,-0.319,17.154,0.087790005,0.56444
KMX,24.333334,0.88,0.04077,1.68,2.199,318.175,1.299,,-0.012,23.52,0.008909999,0.12139
CAG,,1.287,-0.00511,-0.1,0.901,89.813,0.033,9.42,-0.019,8.319,-0.00387,0.24274999
HST,19.2,3.192,0.11489,1.1,2.361,83.779,1.131,3.79,0.128,11.905,0.12476,0.28832
JKHY,22.135057,4.528,0.24284,6.96,1.6,3.109,0.718,1.53,0.079,16.021,0.20587,0.43842
SWK,26.920752,1.132,0.04522,2.65,1.14,70.024,1.201,4.65,-0.01,10.155,0.02656,0.30628002
DVA,15.553102,1.749,0.64848,9.51,1.292,1111.353,0.915,,0.099,8.674,0.05474,0.32255
CPB,11.407608,1.306,0.13891,1.84,1.015,185.001,0.025,7.44,-0.045,7.505,0.0548,0.29610002
CHRW,37.73085,1.408,0.32911,4.83,1.528,75.604,0.935,1.38,-0.065,26.117,0.036170002,0.08550999
JNPR,,,,,,,,,,,,
CPT,29.20904,9.436,0.08598,3.54,0.029,88.402,0.848,4.1,0.022,16.638,0.24229,0.61731
TAP,,1.277,-0.18172,-10.75,0.553,61.772,0.499,4.31,-0.027,6.019,-0.19205,0.38369
NDSN,30.474596,6.216,0.17473,9.25,2.721,66.986,1.012,1.16,0.088,19.46,0.18386,0.55280995
PAYC,15.68974,3.153,0.27417,8.09,1.088,5.215,0.796,1.18,0.102,10.194,0.22099,0.87181
UHS,7.8999567,0.939,0.21326,23.09,1.052,69.729,1.295,0.44,0.091,6.241,0.08574,0.43889
NCLH,22.815216,2.532,0.23285,0.92,0.209,703.028,2.113,,0.064,9.775,0.043070003,0.42619
DAY,,,,,,,,,,,,
SJM,,1.975,-0.20683001,-11.79,0.844,143.204,0.259,4.61,0.07,9.382,-0.14068,0.3421
TECH,111.75472,7.764,0.03966,0.53,4.539,17.449,1.486,0.54,-0.004,28.554,0.06672,0.66605
SOLV,7.9369373,1.994,0.38861,8.88,1.231,103.941,0.774,,-0.037,14.235,0.18691,0.53574
ALLE,19.371813,3.498,0.36084,7.45,1.842,104.0,1.03,1.47,0.093,14.138,0.15829,0.45196998
BG,24.19067,0.547,0.05964,4.93,1.612,91.006,0.696,2.35,0.755,18.356,0.0116,0.04847
AIZ,13.460993,0.889,0.15899,16.92,0.405,38.845,0.56,1.48,0.079,7.716,0.0681,0.11892
IPG,,,,,,,,,,,,
BEN,25.25,1.958,0.04464,1.08,5.564,24.587,1.473,4.84,0.034,10.176,0.06972,0.37035
EMN,17.995123,1.488,0.07991,4.1,1.374,84.413,1.174,4.53,-0.121,8.851,0.05416,0.21091999
ALB,,5.346,-0.04656,-5.75,2.229,33.954,1.433,0.82,0.159,37.262,-0.09929,0.13097
MGM,50.776318,2.281,0.1489,0.76,1.234,963.089,1.351,,0.06,16.988,0.01174,0.44419
AOS,16.836365,2.343,0.29197,3.85,1.497,10.974,1.346,2.19,0.0,11.038,0.1426,0.38833
WYNN,34.773884,2.899,,3.14,1.633,,1.034,0.92,0.015,11.827,0.04586,0.68184996
PNW,20.60198,5.04,0.09059,5.05,0.539,201.771,0.476,3.5,0.03,13.13,0.11545999,0.41601002
ENPH,25.178295,2.708,0.17930001,1.29,2.065,114.421,1.381,,-0.103,16.697,0.11686,0.30435
LKQ,13.471862,0.931,0.09481,2.31,1.673,77.138,0.902,3.86,0.027,8.499,0.04447,0.38569
FRT,24.044872,11.741,0.12235,4.68,0.371,143.64,0.992,3.99,0.075,18.463,0.32092997,0.67917
CRL,,2.868,-0.04232,-2.91,1.292,81.947,1.616,,-0.008,13.138,-0.03595,0.34981
GNRC,78.84759,3.206,0.06283,2.69,2.026,52.479,1.786,,-0.116,27.881,0.03791,0.38291
AES,11.045802,3.888,0.01954,1.31,0.766,259.393,1.008,4.86,0.047,13.687,0.07439,0.18400998
GL,10.785511,2.426,0.20589,14.08,0.76,51.258,0.467,0.87,0.036,8.955,0.19372,0.33810002
LW,21.042252,1.557,0.17355,2.13,1.461,220.065,0.477,3.39,0.029,8.708,0.04607,0.2066
HSIC,24.107035,1.052,0.08701,3.27,1.383,71.736,0.882,,0.077,13.562,0.03019,0.31136
MKTX,25.451807,6.717,0.19389,6.64,3.35,24.601,1.004,1.85,0.035,13.42,0.29143,0.62022996
MTCH,14.920167,3.246,,2.38,1.418,,1.303,2.17,0.021,10.754,0.17591,0.7288
TFX,99.681816,4.132,0.01581,1.32,2.544,90.324,0.835,1.03,,17.548,-0.45448002,0.56378
WBA,,,,,,,,,,,,
HAS,,3.448,-0.36355,-2.3,1.381,600.584,0.544,2.88,0.313,13.507,-0.06858,0.63821
IVZ,,2.428,-0.01219,-1.6,0.787,17.161,1.634,3.39,0.062,12.099,-0.04417,0.28573
APA,8.957394,2.053,0.2532,3.99,0.825,68.685,0.484,2.8,-0.28,3.465,0.16510999,0.68014
MOS,14.452941,1.075,0.048249997,1.7,1.315,43.154,0.962,3.58,0.056,5.736,0.04486,0.1578
PARA,,,,,,,,,,,,
MHK,18.352446,0.769,0.046550002,5.93,2.192,29.328,1.247,,0.024,6.07,0.0343,0.25186002
CE,,1.979,-0.22521,-10.44,1.546,289.222,0.848,0.19,-0.065,12.086,-0.12207,0.20568001
HII,25.637014,1.418,0.124239996,15.4,1.133,58.762,0.356,1.4,0.157,15.664,0.048460003,0.12696
CZR,,2.652,-0.10840999,-2.42,0.8,695.117,1.878,,0.042,8.714,-0.043709997,0.5
BWA,43.484375,0.939,0.05919,1.28,2.07,72.266,1.026,1.22,0.039,6.788,0.01935,0.18595
QRVO,22.561983,2.092,0.09624,3.63,3.675,41.889,1.336,,0.084,10.166,0.091079995,0.44684
FMC,,1.669,-0.66613,-17.59,1.321,200.048,0.523,1.86,-0.115,13.985,-0.6457,0.33808997
AMTM,68.95,0.74,0.01778,0.4,1.418,84.406,,,-0.052,10.469,0.0068900003,0.10637
