Symbol,P/E,EV/Sales,ROE,EPS,Current Ratio,Debt/Equity,Beta,Dividend Yield,Revenue Growth,EV/EBITDA,Profit Margin,Gross Margin
BKNG,29.004532,5.731,,6.62,1.333,,1.198,0.82,0.16,15.257,0.20076999,0.87357
DHR,38.794823,6.22,0.07053,5.02,1.874,37.487,0.986,0.82,0.046,19.503,0.1471,0.59231997
T,8.720395,2.745,0.18805,3.04,0.906,124.179,0.539,4.19,0.036,7.795,0.17472,0.59554
BLK,26.45562,6.627,,39.77,,24.367,1.493,2.18,0.27,16.587,0.24396999,0.46890998
RTX,39.52113,3.364,0.109519996,4.97,1.026,59.513,0.428,1.38,0.121,20.228,0.07598,0.20076999
SPGI,30.209558,9.727,0.13087,14.65,0.824,37.912,1.204,0.88,0.09,19.515,0.29154,0.70246005
PFE,20.264706,3.373,0.08886,1.36,1.16,77.957,0.388,6.24,-0.012,8.207,0.124180004,0.75807
HON,33.652737,4.6,0.26136,6.94,1.298,236.613,0.915,2.04,-0.033,20.338,0.1263,0.36933997
NEE,27.872728,10.868,0.083739996,3.3,0.595,146.242,0.733,2.71,0.207,21.072,0.24934,0.62268
CMCSA,5.497217,1.638,0.2141,5.39,0.882,107.863,0.79,4.45,0.012,5.494,0.16166,0.71747
ANET,59.937954,21.732,0.314,2.74,3.048,0.732,1.475,,0.289,49.815,0.38991,0.64056
AMGN,24.933332,6.472,1.0610299,14.25,1.14,640.275,0.465,2.84,0.086,14.313,0.20982,0.70783997
PGR,10.309415,1.394,0.37903,19.65,0.292,26.174,0.327,6.86,0.087,8.226,0.12927,0.18562001
LOW,21.224283,2.14,,11.86,1.077,,0.965,1.91,0.109,14.893,0.07712,0.33476
SYK,40.82283,5.719,0.15079,8.41,1.893,72.971,0.926,1.03,0.114,20.671,0.12923999,0.65042
UNP,20.963272,7.357,0.40377,11.98,0.908,177.733,0.968,2.2,-0.006,14.498,0.29123,0.56353
TJX,32.99384,3.066,0.59129,4.87,1.138,132.375,0.727,1.19,0.085,21.97,0.091000006,0.30963
KKR,44.273506,6.2,0.08558,2.34,0.847,68.611,1.927,0.71,0.763,,0.09241,0.56959
SCHW,18.345924,4.407,0.1909,5.03,0.623,67.073,0.901,1.39,0.158,,0.37986,0.9746
ETN,38.909004,6.102,0.21525998,10.44,1.319,54.877,1.164,1.08,0.131,26.544,0.1489,0.37772998
AMAT,40.670082,11.118,0.38863,9.76,2.715,33.108,1.637,0.53,-0.021,35.29,0.27784002,0.48724
BA,90.07258,2.271,2.90084,2.48,1.188,1032.894,1.128,,0.571,-62.738,0.02498,0.04828
BSX,33.10825,5.258,0.12445,1.94,1.617,48.921,0.782,,0.159,19.771,0.14437,0.68781
C,16.338688,-4.274,0.07649,8.09,,,1.085,1.82,0.169,,0.20356001,0.0
UBER,16.30444,3.161,0.39925998,4.73,1.136,43.806,1.206,,0.201,26.051,0.19326,0.38497
COP,18.274015,2.642,0.12357,6.35,1.297,37.828,0.192,2.9,-0.068,6.591,0.13252,0.4618
PANW,93.25001,13.432,0.16259001,1.8,1.045,4.887,0.766,,0.149,86.488,0.12956999,0.73502
ADP,19.275963,3.902,0.73843,10.4,1.032,70.044,0.856,3.39,0.062,13.375,0.19964,0.48351002
DE,33.34049,4.261,0.19566,17.71,2.253,376.022,0.992,1.1,-0.111,23.187,0.10302,0.26248
BMY,17.390173,3.301,0.40442002,3.46,1.255,254.982,0.273,4.19,0.013,8.322,0.14637,0.72623
LMT,27.54372,2.064,0.76865,21.5,1.087,338.804,0.24,2.28,0.091,18.697,0.06685,0.1024
GILD,20.270987,6.342,0.40655,6.79,1.553,112.923,0.404,2.38,0.047,12.809,0.28903,0.78839993
NKE,30.282894,1.532,0.16016,1.52,2.139,79.333,1.319,3.56,0.001,18.449,0.04836,0.40919998
CB,12.887806,2.561,0.14337,25.67,0.38,30.944,0.503,1.17,0.055,11.507,0.17291,0.29548
UPS,16.22561,1.276,0.33772,6.56,1.219,175.884,1.098,6.16,-0.032,9.262,0.06285,0.22601
ADI,68.031136,15.82,0.07862,5.46,1.756,25.753,1.053,1.1,0.304,34.071,0.23024,0.62842
MDT,24.07542,3.679,0.0939,3.58,2.535,57.06,0.764,3.3,0.087,13.83,0.13,0.65159
VRTX,28.817766,8.958,0.22541,15.31,2.901,10.908,0.367,,0.095,22.094,0.32939997,0.53665
MU,21.455446,8.765,0.39823002,21.21,2.897,14.902,1.606,0.13,1.963,13.841,0.41486,0.58437
SBUX,83.33333,3.603,,1.2,1.047,,0.944,2.48,0.055,25.641,0.036310002,0.22167999
PLD,40.87324,18.492,0.06844,3.55,0.247,59.828,1.412,2.95,0.083,26.733,0.39646,0.756
GEV,56.813034,6.926,0.42641,17.65,0.982,9.727,1.196,0.15,0.038,88.03,0.1283,0.20082001
LRCX,54.94867,16.171,0.65565,4.87,2.256,44.195,1.79,0.39,0.221,45.274,0.3022,0.49800998
MO,15.575243,6.384,,4.12,0.648,,0.447,6.61,-0.005,8.236,0.34495,0.87343
SO,24.109694,6.127,0.11043,3.92,0.646,190.586,0.405,3.13,0.101,13.002,0.14689,0.48469
EQIX,79.34548,13.821,0.09722,13.72,1.316,160.291,0.998,1.77,0.081,31.43,0.14579001,0.51317
CRWD,,21.437,-0.04137,-0.64,1.773,18.336,1.072,,0.233,-2210.566,-0.033770002,0.74808997
PYPL,9.391868,1.467,0.25732002,5.41,1.287,60.703,1.411,1.1,0.037,7.317,0.15775,0.41484
SHW,33.679337,4.199,0.59391,10.26,0.868,306.061,1.269,0.93,0.056,22.064,0.108950004,0.48848
ICE,27.944542,11.189,0.11885,5.77,1.02,70.077,1.043,1.29,0.078,17.993,0.33380002,1.0
CME,25.77509,15.733,0.1475,11.16,1.032,13.078,0.296,1.81,0.08,22.304,0.62584,1.0
AMT,33.77037,12.7,0.2628,5.4,0.397,434.211,0.93,3.78,0.075,19.57,0.23763001,0.74183
APH,45.227547,8.245,0.36851,3.34,2.979,118.935,1.26,0.66,0.491,27.316,0.1849,0.37217999
